Wavenumbers	Absorbance/g
cm\+(-1)	
3803.67	132.96857
3805.6	132.87857
3807.52	132.85857
3809.45	132.73286
3811.37	132.72286
3813.3	132.78286
3815.22	132.64714
3817.15	132.85286
3819.07	132.63286
3821	132.69286
3822.92	132.74857
3824.85	132.68286
3826.77	132.64286
3828.7	132.76286
3830.62	132.49143
3832.55	132.65714
3834.47	132.73857
3836.4	132.55143
3838.32	132.83857
3840.25	132.77857
3842.17	132.52143
3844.1	132.45571
3846.02	132.49143
3847.95	132.60286
3849.87	132.51714
3851.8	132.68714
3853.72	132.57714
3855.65	132.50714
3857.57	132.36143
3859.5	132.47143
3861.42	132.44143
3863.35	132.43143
3865.27	132.44571
3867.2	132.36571
3869.12	132.41143
3871.05	132.31
3872.97	132.1
3874.9	132.27571
3876.82	132.35143
3878.75	132.17429
3880.67	132.18429
3882.6	132.25
3884.52	132.01857
3886.45	132.06429
3888.37	132.00857
3890.3	132.01857
3892.22	131.90286
3894.15	131.96429
3896.07	132.02429
3898	131.95429
3899.92	132.00429
3901.85	132.05857
3903.77	132.00429
3905.7	131.93857
3907.62	131.96857
3909.55	131.74286
3911.47	131.87857
3913.4	131.90286
3915.32	131.88286
3917.25	131.93857
3919.17	131.94286
3921.1	131.87857
3923.02	131.71714
3924.95	131.74714
3926.87	131.77286
3928.8	131.88857
3930.72	131.78714
3932.65	131.78286
3934.57	131.77286
3936.5	131.61714
3938.42	131.90857
3940.35	131.84286
3942.27	131.67143
3944.19	131.86286
3946.12	131.85286
3948.04	131.81714
3949.97	131.87857
3951.89	131.81286
3953.82	131.98857
3955.74	131.92857
3957.67	131.88857
3959.59	131.88857
3961.52	131.89857
3963.44	131.89857
3965.37	131.82857
3967.29	131.78286
3969.22	131.80714
3971.14	131.78286
3973.07	131.61714
3974.99	131.66143
3976.92	131.54143
3978.84	131.66143
3980.77	131.59714
3982.69	131.56714
3984.62	131.59714
3986.54	131.57714
3988.47	131.54143
3990.39	131.60143
3992.32	131.55571
3994.24	131.54571
3996.17	131.55571
3998.09	131.53571
4000.02	131.56714
4001.94	131.57714
4003.87	131.49571
4005.79	131.51571
4007.72	131.53571
